,NODEID,x_coord,y_coord,FCH,CH,whichCH,ClusterNumber,Energy
0,0,10,7,-1.0,0,-1,-1,0.49979404
1,1,37,73,-1.0,0,-1,-1,0.49953208
2,2,87,8,-1.0,0,-1,-1,0.49949468
3,3,8,96,0.9988576,1,0,1,0.4986060000000001
4,4,8,57,-1.0,0,-1,-1,0.49966748
5,5,37,54,-1.0,0,-1,-1,0.4996286
6,6,100,51,0.8383011063782272,0,8,8,0.49978204
7,7,68,41,-1.0,0,-1,-1,0.4995478
8,8,12,58,-1.0,0,-1,-1,0.49965968
9,9,77,3,-1.0,0,-1,-1,0.49956248
10,10,89,100,0.8020709379216264,0,2,2,0.49974304
11,11,87,49,0.8801986983161102,0,8,8,0.4997948
12,12,34,12,-1.0,0,-1,-1,0.499748
13,13,73,80,0.8775540633087218,0,2,2,0.4997936
14,14,63,23,-1.0,0,-1,-1,0.49962008
15,15,37,53,-1.0,0,-1,-1,0.49963288
16,16,69,68,0.9150445120492653,1,0,2,0.4987966000000001
17,17,50,12,-1.0,0,-1,-1,0.49969424
18,18,27,78,-1.0,0,-1,-1,0.49952748
19,19,73,47,-1.0,0,-1,-1,0.49949848
20,20,96,38,0.8463577617290194,0,8,8,0.49977376
21,21,67,59,0.9374088239144324,1,0,3,0.4970696913200003
22,22,90,96,0.8028442144494727,0,2,2,0.499751
23,23,26,69,-1.0,0,-1,-1,0.49958252
24,24,18,16,-1.0,0,-1,-1,0.4997768
25,25,69,32,-1.0,0,-1,-1,0.4995686
26,26,35,25,-1.0,0,-1,-1,0.499726
27,27,17,97,0.8146684388541422,0,1,1,0.49979672
28,28,99,45,0.8407766555511752,0,8,8,0.4997788
29,29,35,75,-1.0,0,-1,-1,0.499526
30,30,88,51,0.8769650330349845,0,6,6,0.49979456
31,31,73,71,0.89901632,0,5,5,0.499799
32,32,15,72,-1.0,0,-1,-1,0.49958364
33,33,50,14,-1.0,0,-1,-1,0.49969216
34,34,36,14,-1.0,0,-1,-1,0.49974032
35,35,5,52,-1.0,0,-1,-1,0.49969084
36,36,65,92,0.8556716937178307,0,4,4,0.49978168
37,37,23,35,-1.0,0,-1,-1,0.49972984
38,38,69,29,-1.0,0,-1,-1,0.49957592
39,39,57,5,-1.0,0,-1,-1,0.49966904
40,40,30,33,-1.0,0,-1,-1,0.49972044
41,41,31,36,-1.0,0,-1,-1,0.49970972
42,42,11,53,-1.0,0,-1,-1,0.4996828
43,43,35,23,-1.0,0,-1,-1,0.49972984
44,44,16,19,-1.0,0,-1,-1,0.49977532
45,45,55,25,-1.0,0,-1,-1,0.499654
46,46,46,16,-1.0,0,-1,-1,0.49970512
47,47,13,72,-1.0,0,-1,-1,0.49958588
48,48,48,79,0.905798559379694,1,0,4,0.4987695600000001
49,49,53,14,-1.0,0,-1,-1,0.4996798
50,50,69,68,0.9150445120492653,1,0,5,0.4987966000000001
51,51,28,41,-1.0,0,-1,-1,0.4997014
52,52,78,57,0.9064132277340667,1,0,6,0.4987950000000001
53,53,5,5,-1.0,0,-1,-1,0.499798
54,54,92,82,0.8291725202575378,0,5,5,0.499771
55,55,72,34,-1.0,0,-1,-1,0.4995464
56,56,75,33,-1.0,0,-1,-1,0.49953144
57,57,49,5,-1.0,0,-1,-1,0.49970296
58,58,33,68,-1.0,0,-1,-1,0.49957148
59,59,35,37,-1.0,0,-1,-1,0.49969624
60,60,26,69,-1.0,0,-1,-1,0.49958252
61,61,65,62,0.937486005323951,1,0,7,0.49879948000000013
62,62,90,58,0.8679705842071402,0,6,6,0.4997942
63,63,28,48,-1.0,0,-1,-1,0.49967648
64,64,37,42,-1.0,0,-1,-1,0.49967468
65,65,42,7,-1.0,0,-1,-1,0.49972748
66,66,28,14,-1.0,0,-1,-1,0.4997608
67,67,80,58,0.8993648621009209,1,0,8,0.4985932000000001
68,68,18,50,-1.0,0,-1,-1,0.49968704
69,69,36,30,-1.0,0,-1,-1,0.49971216
70,70,93,57,0.8590363979430183,0,6,6,0.499791
71,71,74,17,-1.0,0,-1,-1,0.4995694
72,72,2,58,-1.0,0,-1,-1,0.49966528
73,73,100,71,0.8245921692409958,0,5,5,0.4997612
74,74,16,72,-1.0,0,-1,-1,0.4995824
75,75,91,27,0.8481613010679742,0,3,3,0.499736
76,76,99,91,0.8035340904117767,0,7,7,0.49972012
77,77,19,42,-1.0,0,-1,-1,0.499715
78,78,60,87,0.875902883123951,0,4,4,0.49979168
79,79,15,3,-1.0,0,-1,-1,0.49979064
80,80,62,47,-1.0,0,-1,-1,0.49955788
81,81,100,83,0.8062452633832865,0,3,3,0.4997334
82,82,51,16,-1.0,0,-1,-1,0.49968572
83,83,85,89,0.8304570428128965,0,7,7,0.49975484
84,84,15,16,-1.0,0,-1,-1,0.49978076
85,85,44,17,-1.0,0,-1,-1,0.499711
86,86,77,97,0.8246619930842531,0,4,4,0.4997534
87,87,19,82,-1.0,0,-1,-1,0.4995166
88,88,83,8,-1.0,0,-1,-1,0.49952188
89,89,7,61,-1.0,0,-1,-1,0.4996492
90,90,85,91,0.8256016174715288,0,7,7,0.49975036
91,91,46,24,-1.0,0,-1,-1,0.49969232
92,92,18,40,-1.0,0,-1,-1,0.49972304
93,93,96,50,0.8512330772143748,0,3,3,0.49976312
94,94,84,77,0.8594467014432547,0,1,1,0.49955452
95,95,34,78,-1.0,0,-1,-1,0.4995104
96,96,50,3,-1.0,0,-1,-1,0.49969964
97,97,38,16,-1.0,0,-1,-1,0.499732
98,98,31,64,-1.0,0,-1,-1,0.49959772
99,99,42,96,0.849063215269156,0,1,1,0.49975376
